id,name,lat,lng,city
https://ror.org/03cv38k47,University Medical Center Groningen,53.222794,6.574039,Groningen
https://ror.org/045nawc23,Tergooi,52.2675,5.2075,Blaricum
https://ror.org/04rr42t68,Jeroen Bosch Ziekenhuis,51.695411,5.184388,'s-Hertogenbosch
https://ror.org/03q4p1y48,Haga Hospital,52.057307,4.264889,The Hague
https://ror.org/050jqep38,Altrecht GGZ,52.084967,5.125201,Utrecht
https://ror.org/01g21pa45,Amphia Ziekenhuis,51.581863,4.7973,Breda
https://ror.org/01d3gh658,Central Military Hospital,52.0883,5.178739,Utrecht
https://ror.org/042jn4x95,Public Health Service of Amsterdam,52.362475,4.908765,Amsterdam
https://ror.org/024pk8k39,Amalia Kinderziekenhuis,51.823641,5.859822,Nijmegen
https://ror.org/044jw3g30,Karakter,52.02129,5.690765,Ede
https://ror.org/029cn2a76,GGZ Rivierduinen,52.166103,4.484836,Leiden
https://ror.org/00t93jm73,Lentis,53.208284,6.573594,Groningen
https://ror.org/03c0kv729,GGZ Friesland,53.212232,5.78599,Leeuwarden
https://ror.org/0107rkg57,GGZ Drenthe,52.995866,6.558318,Assen
https://ror.org/03g5hcd33,Netherlands Comprehensive Cancer Organisation,51.442969,5.469018,Eindhoven
https://ror.org/03wnqyy64,Netherlands Consortium for Healthy Ageing,52.167746,4.477463,Leiden
https://ror.org/046a2wj10,Isala,52.513189,6.124598,Zwolle
https://ror.org/04pw0tr28,Refaja Ziekenhuis,53.00147,6.93571,Stadskanaal
https://ror.org/01fmdar07,Borstkankervereniging Nederland,52.092393,5.120599,Utrecht
https://ror.org/02babdz45,European Neuro Muscular Centre,52.206977,5.280119,Baarn
